partID,age,gender,height,boxRatio,weight,weightKg,yearsTraining,preferredFoot,result_n_VertPeak_Drop_Precision_1,result_n_VertPeak_Drop_Precision_2,result_n_VertPeak_Drop_Precision_3,result_n_VertPeak_Drop_Running_1,result_n_VertPeak_Drop_Running_2,result_n_VertPeak_Drop_Running_3,result_n_VertPeak_Step_Precision_1,result_n_VertPeak_Step_Precision_2,result_n_VertPeak_Step_Precision_3,result_n_VertPeak_Step_Running_1,result_n_VertPeak_Step_Running_2,result_n_VertPeak_Step_Running_3,result_n_VertPeak_Dash_Precision_1,result_n_VertPeak_Dash_Precision_2,result_n_VertPeak_Dash_Precision_3,result_n_VertPeak_Dash_Running_1,result_n_VertPeak_Dash_Running_2,result_n_VertPeak_Dash_Running_3,result_n_VertPeak_Kong_Precision_1,result_n_VertPeak_Kong_Precision_2,result_n_VertPeak_Kong_Precision_3,result_n_VertPeak_Kong_Running_1,result_n_VertPeak_Kong_Running_2,result_n_VertPeak_Kong_Running_3,result_n_HorzPeak_Drop_Precision_1,result_n_HorzPeak_Drop_Precision_2,result_n_HorzPeak_Drop_Precision_3,result_n_HorzPeak_Drop_Running_1,result_n_HorzPeak_Drop_Running_2,result_n_HorzPeak_Drop_Running_3,result_n_HorzPeak_Step_Precision_1,result_n_HorzPeak_Step_Precision_2,result_n_HorzPeak_Step_Precision_3,result_n_HorzPeak_Step_Running_1,result_n_HorzPeak_Step_Running_2,result_n_HorzPeak_Step_Running_3,result_n_HorzPeak_Dash_Precision_1,result_n_HorzPeak_Dash_Precision_2,result_n_HorzPeak_Dash_Precision_3,result_n_HorzPeak_Dash_Running_1,result_n_HorzPeak_Dash_Running_2,result_n_HorzPeak_Dash_Running_3,result_n_HorzPeak_Kong_Precision_1,result_n_HorzPeak_Kong_Precision_2,result_n_HorzPeak_Kong_Precision_3,result_n_HorzPeak_Kong_Running_1,result_n_HorzPeak_Kong_Running_2,result_n_HorzPeak_Kong_Running_3,result_bw_VertPeak_Drop_Precision_1,result_bw_VertPeak_Drop_Precision_2,result_bw_VertPeak_Drop_Precision_3,result_bw_VertPeak_Drop_Running_1,result_bw_VertPeak_Drop_Running_2,result_bw_VertPeak_Drop_Running_3,result_bw_VertPeak_Step_Precision_1,result_bw_VertPeak_Step_Precision_2,result_bw_VertPeak_Step_Precision_3,result_bw_VertPeak_Step_Running_1,result_bw_VertPeak_Step_Running_2,result_bw_VertPeak_Step_Running_3,result_bw_VertPeak_Dash_Precision_1,result_bw_VertPeak_Dash_Precision_2,result_bw_VertPeak_Dash_Precision_3,result_bw_VertPeak_Dash_Running_1,result_bw_VertPeak_Dash_Running_2,result_bw_VertPeak_Dash_Running_3,result_bw_VertPeak_Kong_Precision_1,result_bw_VertPeak_Kong_Precision_2,result_bw_VertPeak_Kong_Precision_3,result_bw_VertPeak_Kong_Running_1,result_bw_VertPeak_Kong_Running_2,result_bw_VertPeak_Kong_Running_3,result_bw_HorzPeak_Drop_Precision_1,result_bw_HorzPeak_Drop_Precision_2,result_bw_HorzPeak_Drop_Precision_3,result_bw_HorzPeak_Drop_Running_1,result_bw_HorzPeak_Drop_Running_2,result_bw_HorzPeak_Drop_Running_3,result_bw_HorzPeak_Step_Precision_1,result_bw_HorzPeak_Step_Precision_2,result_bw_HorzPeak_Step_Precision_3,result_bw_HorzPeak_Step_Running_1,result_bw_HorzPeak_Step_Running_2,result_bw_HorzPeak_Step_Running_3,result_bw_HorzPeak_Dash_Precision_1,result_bw_HorzPeak_Dash_Precision_2,result_bw_HorzPeak_Dash_Precision_3,result_bw_HorzPeak_Dash_Running_1,result_bw_HorzPeak_Dash_Running_2,result_bw_HorzPeak_Dash_Running_3,result_bw_HorzPeak_Kong_Precision_1,result_bw_HorzPeak_Kong_Precision_2,result_bw_HorzPeak_Kong_Precision_3,result_bw_HorzPeak_Kong_Running_1,result_bw_HorzPeak_Kong_Running_2,result_bw_HorzPeak_Kong_Running_3
A01,28,Male,169.1,0.57,688,70.1,10,Left,907.9020385,1117.4500885,939.471344,2047.709709,1883.81031,1896.315826,1349.091133,1431.386364,1099.185028,2044.078568,1489.147171,1366.134552,1399.0681765,1661.2291795,1063.7490385,1990.553017,1895.468857,2542.277283,1674.3005065,1884.204117,1520.14373,2001.245911,2515.0495,2294.21962,230.3103485,319.3004305,264.088852,377.536118,385.683762,419.435669,327.1145935,388.6503295,294.4882125,365.921219,311.861191,216.555222,270.7727585,350.118103,237.824791,213.575081,190.761322,247.096397,451.991974,568.382736,343.9239655,563.872284,614.133057,659.563416,1.3196250559593024,1.6242007100290698,1.3655106744186047,2.9763222514534884,2.738096380813954,2.7562730029069766,1.9608882747093022,2.0805034360465116,1.5976526569767444,2.971044430232558,2.164458097383721,1.9856606860465116,2.0335293263081393,2.4145772957848837,1.5461468582848839,2.893245664244186,2.7550419433139535,3.695170469476744,2.4335763175872094,2.738668774709302,2.2095112354651163,2.9087876613372092,3.6555952034883723,3.334621540697674,0.33475341351744187,0.46409946293604654,0.38385007558139533,0.5487443575581396,0.5605868633720931,0.6096448677325582,0.4754572579941861,0.564898734738372,0.4280351925872093,0.5318622369186047,0.4532866148255814,0.31476049709302323,0.39356505595930236,0.5088925915697675,0.3456755683139535,0.3104288968023256,0.277269363372093,0.3591517398255814,0.6569650784883722,0.8261376976744187,0.4998894847383721,0.819581808139535,0.8926352572674419,0.9586677558139535
A02,32,Female,160.2,0.6,592,60.3,7,Right,1202.0642395,896.513298,1100.3246535,1897.833593,1540.720811,1800.065125,1243.3691175,1351.629135,1437.060791,1691.746004,2008.805016,2211.504257,1142.4652405,1126.260998,1354.8546525,1347.142509,1236.975914,1331.825283,1533.7021105,1593.057205,1643.0912055,2007.860114,1902.395493,1912.534271,284.46653,208.445938,254.475876,277.668045,223.347618,341.277084,333.150131,386.9959565,268.506706,281.116684,352.893867,382.432724,202.7253725,208.7211305,209.356354,157.07262,113.700275,130.002636,446.364273,351.349167,410.801132,479.257675,503.999924,461.325577,2.030513918074324,1.514380570945946,1.8586565092905407,3.205799988175676,2.6025689375,3.040650548986487,2.1002856714527027,2.283157322635135,2.427467552364865,2.857679060810811,3.3932517162162164,3.73564908277027,1.9298399332770269,1.902467902027027,2.2886058319256755,2.2755785625000002,2.0894863412162166,2.2497048699324322,2.590713024493243,2.690975008445946,2.7754919011824324,3.391655597972973,3.2135059003378377,3.230632214527027,0.48051778716216215,0.352104625,0.42985789864864865,0.4690338597972973,0.37727638175675676,0.5764815608108108,0.5627535996621621,0.6537093859797297,0.453558625,0.47485926351351354,0.5961045050675675,0.646001222972973,0.34244150760135134,0.35256947719594595,0.3536424898648649,0.2653253716216216,0.19206127533783784,0.2195990472972973,0.753993704391892,0.593495214527027,0.693920831081081,0.809556883445946,0.851351222972973,0.7792661773648649
A03,40,Male,167,0.57,691,70.4,15,Left,1721.367218,992.6029665,924.8379745,2421.757141,2149.922585,2253.881622,934.5660325,1028.6301805,840.026291,1627.492479,1813.300903,1624.829697,1017.8106615,958.153206,795.8421555,2095.145428,2092.4888,1796.413481,1910.942749,1170.2032165,1100.3518675,3042.4673,3001.390869,2790.092529,489.8780365,177.184448,202.180893,338.971954,305.296822,362.651268,216.3007125,278.1312255,233.9854585,178.498158,233.173767,195.85965,198.831421,233.5963745,205.824013,192.543436,267.357513,133.127188,513.541977,302.8632505,301.7571485,494.318207,593.533417,617.455872,2.4911247727930537,1.4364731787264833,1.3384051729377713,3.5047136628075255,3.111320672937771,3.2617679044862515,1.352483404486252,1.488610970332851,1.2156675701881332,2.3552713154848046,2.6241691794500723,2.3514177959479015,1.4729532004341535,1.3866182431259044,1.1517252612156295,3.0320483762662804,3.0282037626628076,2.5997300738060782,2.765474311143271,1.6934923538350217,1.5924050180897251,4.402991751085383,4.343546843704775,4.037760534008683,0.7089407185238784,0.2564174356005789,0.29259174095513746,0.4905527554269175,0.44181884515195374,0.5248209377713459,0.3130256331403763,0.4025053914616498,0.3386186085383502,0.2583186078147612,0.3374439464544139,0.2834437771345875,0.2877444587554269,0.33805553473227207,0.297863984081042,0.2786446251808973,0.3869139117221418,0.19265873806078146,0.7431866526772792,0.4382970340086831,0.4366963075253257,0.7153664356005788,0.858948505065123,0.8935685557163531
A04,25,Male,175.9,0.55,730,74.4,7,Right,1118.5029145,1024.3186035,1198.8419645,2387.777771,2123.040375,2184.316803,1067.5370025,1176.9614105,1024.8014680000001,1782.44426,1802.103989,1789.20186,1142.6519165,936.1121595,1083.805359,1564.479263,1807.079605,1608.782379,1280.542343,1210.376251,1277.5769045,2302.494995,2263.496933,2719.348206,215.8344955,204.460121,215.967163,193.622406,96.690151,114.653889,285.727211,316.6248625,282.761238,278.266251,233.590179,57.965589,328.5329435,208.67379,303.800186,174.351822,55.993452,106.259289,388.102585,316.1697235,380.263504,558.987259,489.829224,334.200607,1.5321957732876714,1.4031761691780824,1.6422492664383561,3.2709284534246574,2.90827448630137,2.9922147986301373,1.462379455479452,1.6122759047945205,1.4038376273972604,2.441704465753425,2.468635601369863,2.4509614520547944,1.5652765979452055,1.2823454239726026,1.4846648753424656,2.143122278082192,2.47545151369863,2.2038114780821916,1.754167593150685,1.6580496589041094,1.750105348630137,3.154102732876712,3.100680730136986,3.7251345287671236,0.2956636924657534,0.28008235753424654,0.2958454287671233,0.26523617260273974,0.1324522616438356,0.15706012191780822,0.3914071383561644,0.4337326883561644,0.3873441616438356,0.38118664520547946,0.3199865465753425,0.07940491643835616,0.45004512808219177,0.28585450684931507,0.41616463835616435,0.23883811232876712,0.07670335890410959,0.1455606698630137,0.5316473767123288,0.4331092102739726,0.5209089095890411,0.7657359712328767,0.6709989369863014,0.4578090506849315
A05,24,Female,165.9,0.58,633,64.5,8,Right,1781.503601,1298.1809845,1457.5842895,2426.080956,2593.200867,2661.30838,1430.2319945,1150.041321,1193.157486,1605.087887,1815.040336,1707.849817,1103.6924745,1021.218277,958.2155685,1173.649392,1307.625751,1215.090444,1707.806137,1771.619171,1655.425949,4132.329254,3602.126732,4710.808319,474.7355955,349.521698,419.6815645,594.194305,646.039978,619.529327,363.113373,332.021591,332.274002,212.324085,256.005589,377.429855,264.5702745,243.1158525,177.009491,192.471268,202.790871,140.533752,458.368561,467.456009,397.845169,568.193138,507.538551,666.00264,2.8143816761453393,2.0508388380726696,2.3026608048973145,3.832671336492891,4.096683834123223,4.204278641390205,2.259450228278041,1.816810933649289,1.8849249383886257,2.5356838657187994,2.867362300157978,2.6980249873617694,1.7435900071090045,1.6132990157977882,1.5137686706161138,1.8541064644549763,2.0657594802527646,1.9195741611374406,2.697955982622433,2.7987664628751974,2.615206870458136,6.528166278041074,5.690563557661927,7.4420352590837275,0.7499772440758293,0.5521669794628752,0.6630040513428119,0.9386955845181675,1.0206002812006318,0.9787193159557661,0.5736388199052133,0.5245206808846762,0.5249194344391785,0.3354250947867298,0.4044322101105845,0.5962556951026856,0.41796251895734593,0.38406927725118484,0.27963584676145337,0.30406203475513427,0.3203647251184834,0.2220122464454976,0.7241209494470774,0.7384771074249605,0.6285073759873617,0.8976194913112164,0.8017986587677725,1.0521368720379147
A06,41,Male,175.9,0.55,843,85.9,11,Left,1558.934662,1408.9487455,1499.2010195,3241.234543,2863.145203,3024.870361,1769.0938875,1310.01622,1642.965088,2637.928177,2392.023788,2706.721036,1521.0308685,1616.5721435,1651.4735105,1877.992416,1623.056824,1597.058418,2401.1875915,2124.008911,2190.8634035,3564.428619,3467.59314,3174.867828,267.5560915,245.2913515,278.342209,299.901596,213.549446,214.702118,362.294449,325.7677535,324.3437195,303.859665,245.347755,384.526184,227.994461,263.381546,262.1038665,94.528108,93.975763,184.736961,666.5203855,564.8795015,365.355278,412.823105,413.398193,424.407043,1.8492700616844602,1.671350825029656,1.7784116482799526,3.844880833926453,3.396376278766311,3.588221068801898,2.098569261565836,1.553993143534994,1.9489502823250295,3.1292149193357055,2.837513390272835,3.210819734282325,1.8043070800711745,1.9176419258600237,1.9590433102016607,2.2277490106761566,1.9253343107947805,1.8944939715302491,2.848383857058126,2.519583524317912,2.598888972123369,4.228266451957295,4.113396370106761,3.7661540071174375,0.31738563641755635,0.29097431969157767,0.330180556346382,0.3557551553973903,0.25332081376037957,0.25468815895610913,0.4297680296559905,0.38643861625148285,0.3847493706998814,0.36045037366548044,0.2910412277580071,0.45614019454329774,0.2704560628706999,0.31243362514828,0.31091799110320284,0.11213298695136419,0.11147777342823251,0.21914230249110322,0.7906528890865955,0.6700824454329773,0.43339890628707,0.4897071233689205,0.490389315539739,0.5034484495848162
A07,35,Male,181.9,0.53,795,81,16,Left,980.348076,905.9890595,789.162628,2380.453156,2772.294678,2489.870575,849.4874495,817.357361,795.887436,2061.830261,1934.795685,1826.466812,1049.582329,1104.519821,766.180008,1878.208862,1796.445267,1908.404617,1186.8572695,1667.3061525,970.827072,2387.335205,2367.119781,2159.638748,197.097481,196.993431,188.653206,132.114033,192.552216,153.169609,225.7590255,198.0567095,185.5864565,178.631004,88.654839,99.094967,231.0494995,224.142761,176.0399095,125.659081,53.240664,55.208694,332.581024,503.024826,277.680084,419.853668,369.071121,315.855835,1.2331422339622642,1.1396088798742139,0.9926573937106918,2.9942806993710693,3.487163116981132,3.1319126729559748,1.068537672327044,1.0281224666666666,1.0011162716981132,2.593497183647799,2.4337052641509436,2.29744253081761,1.320229344654088,1.3893331081761007,0.9637484377358491,2.3625268704402513,2.2596795811320756,2.4005089522012577,1.4929022257861635,2.0972404433962266,1.2211661283018869,3.002937364779874,2.977509158490566,2.716526727044025,0.24792135974842766,0.247790479245283,0.23729963018867925,0.16618117358490567,0.24220404528301887,0.1926661748427673,0.2839736169811321,0.24912793647798742,0.23344208364779873,0.2246930867924528,0.11151552075471698,0.1246477572327044,0.29062830125786165,0.28194057987421384,0.22143384842767294,0.15806173710691823,0.06696938867924529,0.06944489811320755,0.41834091069182394,0.6327356301886793,0.3492831245283019,0.5281178213836478,0.4642404037735849,0.3973029371069183
B08,21,Male,186.4,0.52,798,81.3,5,Right,946.3125765,1072.734726,968.2770235,2397.269592,2529.158203,2531.757446,863.8252105,829.538521,900.670891,1648.827011,1509.824707,1341.553864,853.8666915,938.833557,916.040573,1916.670959,1720.945709,1574.598312,1198.809845,1235.7505495,978.808594,3426.109573,2969.113403,2560.328186,135.436756,161.157585,172.241707,84.941587,55.76833,159.598137,178.8201905,214.8443755,186.860306,101.617445,65.727549,154.666817,207.4001925,220.0391615,204.093109,138.969456,53.590038,67.355274,342.871811,340.453186,267.6343535,424.611679,364.656853,405.694885,1.1858553590225565,1.3442791052631577,1.2133797286967418,3.0040972330827067,3.1693711817042605,3.1726283784461153,1.0824877324561404,1.0395219561403508,1.1286602644110275,2.066199261904762,1.892010911027569,1.6811451929824561,1.070008385338346,1.1764831541353384,1.1479205175438596,2.401843307017544,2.1565735701754387,1.9731808421052632,1.5022679761904763,1.548559585839599,1.2265771854636591,4.293370392230576,3.7206934874686715,3.2084313107769424,0.1697202456140351,0.20195186090225564,0.21584173809523807,0.10644309147869674,0.06988512531328321,0.19999766541353384,0.22408545175438596,0.26922854072681707,0.2341607844611529,0.127340156641604,0.08236534962406014,0.1938180664160401,0.25989999060150376,0.2757382976190476,0.25575577568922303,0.17414718796992482,0.06715543609022556,0.08440510526315789,0.4296639235588972,0.4266330651629073,0.3353813953634085,0.5320948358395989,0.45696347493734335,0.5083895802005013
B09,24,Male,177.8,0.54,809,82.5,7,Left,1579.4014585,1195.55719,1161.538254,2584.983887,2405.303238,2075.931244,1046.6926725,1044.085602,901.1834795,2075.144058,2077.883453,2100.677444,952.3888245,995.257065,1060.0251465,2109.522369,1799.565727,1874.871277,1675.677368,1822.967163,1405.3507235,2312.880615,2189.038086,2167.242523,432.1552275,339.590439,314.6347655,337.320618,355.286362,297.451492,233.077057,220.582527,246.523163,221.649948,212.026093,184.671059,244.136322,277.032242,294.693718,224.965141,116.613701,193.751633,467.5900575,503.084732,380.7246855,506.626038,335.971527,393.713379,1.9522885766378244,1.477821001236094,1.4357704004944376,3.195282925834363,2.973180763906057,2.566046037082818,1.2938104728059334,1.2905878887515452,1.1139474406674907,2.565073001236094,2.568459150803461,2.5966346650185415,1.1772420574783684,1.2302312299134734,1.3102906631644005,2.6075678232385657,2.2244322954264524,2.3175170296662544,2.0712946452410383,2.2533586687268232,1.7371455173053152,2.8589377194066747,2.705856719406675,2.6789153559950556,0.5341844592088999,0.4197656847960445,0.3889181279357231,0.4169599728059333,0.43916732014833126,0.3676779876390605,0.2881051384425216,0.2726607255871446,0.30472578862793576,0.2739801582200247,0.2620841693448702,0.22827077750309024,0.3017754289245983,0.3424378763906057,0.3642691199011125,0.27807804820766374,0.1441454894932015,0.23949522002472187,0.5779852379480841,0.6218599901112484,0.47061147775030904,0.6262373770086527,0.415292369592089,0.4866667231149567
C10,24,Male,178,0.54,704,71.8,11,Left,1235.0723685,1102.605644,1063.741089,2188.563157,3220.658168,1977.635141,1135.1620905,1009.625832,1409.730526,3302.629926,2712.551181,2100.508147,1388.136377,899.1132965,919.4877355,3362.35994,1481.276204,1752.365127,2003.470886,1386.584358,1650.0791395,2805.177452,3319.169647,2408.344643,266.1523745,199.3936235,214.978729,416.938828,394.464325,129.964478,207.4913405,191.787674,264.125839,189.587936,299.022003,147.831993,193.084732,169.4444505,162.8248215,172.8433,36.362307,39.845761,525.37265,365.7963105,386.3438875,663.000061,440.606689,389.580368,1.7543641598011364,1.5662011988636364,1.5109958650568183,3.108754484375,4.574798534090909,2.809140825284091,1.612446151278409,1.4341276022727272,2.0024581335227274,4.69123569034091,3.853055654829545,2.9836763451704544,1.9717846264204546,1.2771495688920456,1.3060905333806818,4.7760794602272725,2.1040855170454544,2.489155009943182,2.8458393267045454,1.9695800539772728,2.3438624140625,3.9846270625,4.714729612215909,3.4209440951704546,0.37805735014204545,0.28322957883522726,0.3053675127840909,0.5922426534090909,0.5603186434659091,0.1846086335227273,0.2947320177556818,0.2724256732954546,0.3751787485795454,0.2693010454545455,0.4247471633522727,0.20998862642045457,0.27426808522727275,0.2406881399147727,0.2312852578125,0.24551605113636363,0.05165100426136364,0.05659909232954546,0.74626796875,0.5195970319602273,0.5487839311079545,0.9417614502840909,0.6258617741477273,0.5533812045454546
